edition,no.,listed as
2,1,His Royal Highness the Prince of Wales.
2,2,His Royal Highness the Duke of York.
2,3,His Royal Highness the Duke of Cumberland.
2,4,The Right Hon. the Earl of Ailesbury
2,5,Admiral Affleck
2,6,"Mr. Willian Abington, 2 copies"
2,7,Mr. John Abraham
2,8,"James Adair, Esq."
2,9,The Reverand Charles Adams
2,10,Miss Mary Adams
2,11,John Ady
2,12,The Reverand Mr. Aldridge
2,13,Mr. John Almon
2,14,Mrs. Arnot
2,15,Mr. Joseph Armitage
2,16,Mr. Joseph Ashpinshaw
2,17,Mrs. Ashman
2,18,Mr. Samuel Atkins
2,19,Mr John Attwood
2,20,Mr. Thomas Attwood
2,21,Mr. Ashwell
2,22,"J. C. Ashworth, Esq."
2,23,Mr. Audley
2,24,Mr. Aufrere
2,25,His Grace the Duke of Bedford
2,26,Her Grace the Duchess of Buccleugh
2,27,The Right Reverand the Lord Bishop of Bangor
2,28,The Right Hon. Lord Belgrave
2,29,The Reverand Doctor Baker
2,30,Mrs. Baker
2,31,"Matthew Baillie, M. D."
2,32,Mrs. Baillie
2,33,Miss Baillie
2,34,Miss J. Baillie
2,35,"David Barclay, Esq."
2,36,Mrs. Robert Barrett
2,37,Mr. William Barrett
2,38,Mr. John Barnes
2,39,Mr. John Basnett
2,40,Mr. Bateman
2,41,"Mrs. Baynes, 2 copies"
2,42,Mr. Thomas Bellamy
2,43,Admiral George Belfour
2,44,Mr. J. Benjafield
2,45,"Mr, William Bennett"
2,46,Mr. Besley
2,47,Mr. Samuel Benson
2,48,Mrs. Benton
2,49,The Reverand Mr. Bently
2,50,Mr. Thomas Bentley
